PO_Number,Vendor,Facility,Category,Quantity,Unit_Cost,Total_Cost,Order_Date,Delivery_Date
PO00023,Atlas Industrial Suppy,Reno Operations Center,Plumbing,46,42,1932,2021-07-12,2021-07-21
PO00024,Rocky Mountain Fasteners,Phoenix Distribution Center,Mechanical,38,872,33136,2020-08-30,2020-09-26
PO00025,Precision Plumbing,Salt Lake Service Hub,Office,36,888,31968,2020-07-20,2020-08-13
PO00026,Summit Safety Co.,Phoenix Distribution Center,Safety,57,505,28785,2021-04-24,2021-05-18
PO00027,Atlas Industrial Suppy,Salt Lake Service Hub,Mechanical,33,744,24552,2020-09-03,2020-09-27
PO00028,Summit Safety Co.,Reno Operations Center,Safety,33,567,18711,2021-06-11,2021-07-05
PO00029,Rocky Mountain Fasteners,Albuquerque Distribution Center,Mechanical,27,337,9099,2020-11-02,2020-11-20
PO00030,CleanWorks Supply,Denver Operations Center,Networking,8,494,3952,2021-02-24,2021-03-02
PO00031,Rocky Mountain Fasteners,Albuquerque Distribution Center,Safety,45,180,8100,2021-07-08,2021-07-16
PO00032,Prime Industrial Tools,Reno Operations Center,Hardware,25,509,12725,2021-02-22,2021-02-28
PO00033,Mountain HVAC Solutions,Salt Lake Service Hub,Networking,14,46,644,2021-01-01,2021-01-07
PO00034,Summit Safety Co.,Phoenix Distribution Center,Networking,31,249,7719,2020-08-02,2020-08-30
PO00035,Rocky Mountain Fasteners,Salt Lake Service Hub,Mechanical,51,822,41922,2021-01-19,2021-02-10
PO00036,Summit Safety Co.,Albuquerque Distribution Center,HVAC,6,160,960,2020-09-21,2020-10-01
PO00037,CleanWorks Supply,Phoenix Distribution Center,Office,72,359,25848,2021-05-08,2021-05-23
PO00038,Mountain HVAC Solutions,Reno Operations Center,Electrical,51,356,18156,2020-12-12,2021-01-05
PO00039,IronGate Mechanical,Salt Lake Service Hub,Safety,42,717,30114,2020-12-31,2021-01-23
PO00040,Prime Industrial Tools,Albuquerque Distribution Center,Mechanical,20,142,2840,2021-02-17,2021-03-01
PO00041,BluePeak Office Supply,Phoenix Distribution Center,Plumbing,30,213,6390,2021-01-11,2021-02-04
PO00042,Mountain HVAC Solutions,Albuquerque Distribution Center,Office,4,725,2900,2020-07-30,2020-08-19
PO00043,IronGate Mechanical,Reno Operations Center,Safety,74,390,28860,2020-08-09,2020-08-15
PO00044,Mountain HVAC Solutions,Salt Lake Service Hub,Hardware,62,766,47492,2020-10-07,2020-10-18
PO00045,Atlas Industrial Suppy,Denver Operations Center,HVAC,4,757,3028,2021-04-27,2021-05-07
PO00046,Rocky Mountain Fasteners,Salt Lake Service Hub,Hardware,41,589,24149,2021-02-11,2021-03-11
PO00047,Western Network Systems,Denver Operations Center,Office,59,457,26963,2020-12-27,2021-01-21
PO00048,CleanWorks Supply,Denver Operations Center,Mechanical,16,104,1664,2021-07-09,2021-07-27
PO00049,Summit Safety Co.,Denver Operations Center,HVAC,21,126,2646,2021-02-26,2021-03-13
PO00050,Western Network Systems,Salt Lake Service Hub,Hardware,50,792,39600,2021-06-20,2021-07-13
PO00051,Western Network Systems,Albuquerque Distribution Center,Electrical,45,587,26415,2021-06-26,2021-07-15
PO00052,Rocky Mountain Fasteners,Denver Operations Center,Electrical,25,249,6225,2021-04-19,2021-05-14
PO00053,BluePeak Office Supply,Phoenix Distribution Center,Electrical,49,740,36260,2020-10-29,2020-11-18
PO00054,Precision Plumbing,Albuquerque Distribution Center,Electrical,69,465,32085,2021-04-26,2021-05-08
PO00055,Mountain HVAC Solutions,Reno Operations Center,Office,34,816,27744,2021-03-17,2021-04-06
PO00056,BluePeak Office Supply,Reno Operations Center,Plumbing,69,557,38433,2021-01-02,2021-01-16
PO00057,Precision Plumbing,Salt Lake Service Hub,Electrical,35,114,3990,2021-05-14,2021-06-07
PO00058,CleanWorks Supply,Denver Operations Center,Electrical,62,331,20522,2021-01-26,2021-02-19
PO00059,Precision Plumbing,Denver Operations Center,Electrical,8,780,6240,2020-12-13,2021-01-03
PO00060,Atlas Industrial Suppy,Denver Operations Center,Mechanical,10,812,8120,2020-08-27,2020-09-16
PO00061,BluePeak Office Supply,Albuquerque Distribution Center,HVAC,5,525,2625,2020-10-16,2020-10-29
PO00062,Precision Plumbing,Phoenix Distribution Center,Plumbing,46,267,12282,2021-05-08,2021-05-29
PO00063,Rocky Mountain Fasteners,Salt Lake Service Hub,Hardware,24,832,19968,2021-03-08,2021-03-17
PO00064,Mountain HVAC Solutions,Phoenix Distribution Center,Electrical,20,281,5620,2021-06-19,2021-06-24
PO00065,Summit Safety Co.,Phoenix Distribution Center,Hardware,22,154,3388,2021-04-06,2021-04-18
PO00066,Atlas Industrial Suppy,Albuquerque Distribution Center,Office,35,631,22085,2021-04-11,2021-04-17
PO00067,Western Network Systems,Phoenix Distribution Center,Networking,37,50,1850,2021-06-03,2021-06-30
PO00068,Western Network Systems,Phoenix Distribution Center,Office,21,553,11613,2020-07-24,2020-08-01
PO00069,Precision Plumbing,Salt Lake Service Hub,Safety,55,277,15235,2020-12-24,2020-12-31
PO00070,Summit Safety Co.,Salt Lake Service Hub,Plumbing,72,175,12600,2021-06-22,2021-07-15
PO00071,IronGate Mechanical,Phoenix Distribution Center,Mechanical,26,115,2990,2020-12-24,2021-01-01
PO00072,Western Network Systems,Phoenix Distribution Center,Safety,68,687,46716,2020-10-22,2020-11-04
PO00073,Atlas Industrial Suppy,Phoenix Distribution Center,Networking,8,248,1984,2021-02-21,2021-03-07
PO00074,Summit Safety Co.,Albuquerque Distribution Center,Office,69,95,6555,2020-11-14,2020-12-07
PO00075,CleanWorks Supply,Phoenix Distribution Center,Janitorial,44,886,38984,2021-01-16,2021-02-12
PO00076,CleanWorks Supply,Albuquerque Distribution Center,Plumbing,55,798,43890,2020-12-03,2020-12-11
PO00077,Precision Plumbing,Phoenix Distribution Center,Safety,55,200,11000,2021-05-20,2021-06-04
PO00078,Mountain HVAC Solutions,Albuquerque Distribution Center,Office,53,598,31694,2021-01-14,2021-01-22
PO00079,Rocky Mountain Fasteners,Albuquerque Distribution Center,Mechanical,28,304,8512,2020-08-07,2020-08-31
PO00080,CleanWorks Supply,Albuquerque Distribution Center,Office,69,434,29946,2021-01-07,2021-01-24
PO00081,BluePeak Office Supply,Albuquerque Distribution Center,Office,51,877,44727,2020-09-15,2020-09-30
PO00082,Prime Industrial Tools,Denver Operations Center,Hardware,36,298,10728,2020-12-06,2020-12-25
PO00083,BluePeak Office Supply,Phoenix Distribution Center,Safety,63,152,9576,2020-07-17,2020-08-05
PO00084,Summit Safety Co.,Salt Lake Service Hub,Mechanical,8,825,6600,2021-02-10,2021-03-03
PO00085,Prime Industrial Tools,Salt Lake Service Hub,Safety,2,740,1480,2020-08-09,2020-08-16
PO00086,Rocky Mountain Fasteners,Reno Operations Center,HVAC,8,895,7160,2020-09-03,2020-09-27
PO00087,CleanWorks Supply,Reno Operations Center,Networking,58,774,44892,2020-07-16,2020-07-25
PO00088,CleanWorks Supply,Albuquerque Distribution Center,Office,24,138,3312,2021-02-19,2021-03-02
PO00089,IronGate Mechanical,Albuquerque Distribution Center,Hardware,73,791,57743,2021-06-13,2021-07-13
PO00090,BluePeak Office Supply,Reno Operations Center,Safety,11,162,1782,2020-10-22,2020-11-06
PO00091,Atlas Industrial Suppy,Phoenix Distribution Center,Hardware,66,634,41844,2021-02-07,2021-02-16
PO00092,Atlas Industrial Suppy,Salt Lake Service Hub,HVAC,44,560,24640,2021-04-19,2021-05-03
PO00093,Atlas Industrial Suppy,Denver Operations Center,Janitorial,69,343,23667,2020-09-25,2020-10-02
PO00094,Summit Safety Co.,Phoenix Distribution Center,Hardware,7,476,3332,2021-03-02,2021-03-09
PO00095,Western Network Systems,Phoenix Distribution Center,Hardware,14,190,2660,2021-04-03,2021-04-24
PO00096,Rocky Mountain Fasteners,Salt Lake Service Hub,Safety,24,703,16872,2020-10-13,2020-10-19
PO00097,BluePeak Office Supply,Albuquerque Distribution Center,Networking,71,556,39476,2021-03-26,2021-04-05
PO00098,BluePeak Office Supply,Denver Operations Center,Plumbing,35,330,11550,2020-10-27,2020-11-11
PO00099,Rocky Mountain Fasteners,Reno Operations Center,HVAC,6,293,1758,2021-04-20,2021-05-01
PO00100,BluePeak Office Supply,Denver Operations Center,HVAC,63,830,52290,2020-10-05,2020-10-14
PO00101,Western Network Systems,Albuquerque Distribution Center,HVAC,16,825,13200,2021-02-24,2021-03-11
PO00102,Mountain HVAC Solutions,Phoenix Distribution Center,Networking,52,645,33540,2021-06-25,2021-06-30
PO00103,Mountain HVAC Solutions,Denver Operations Center,Office,39,51,1989,2020-12-01,2020-12-18
PO00104,Mountain HVAC Solutions,Phoenix Distribution Center,HVAC,17,269,4573,2020-09-12,2020-09-17
PO00105,CleanWorks Supply,Denver Operations Center,Hardware,25,840,21000,2020-10-29,2020-11-17
PO00106,BluePeak Office Supply,Denver Operations Center,Electrical,15,259,3885,2021-06-25,2021-07-05
PO00107,IronGate Mechanical,Albuquerque Distribution Center,Plumbing,30,102,3060,2021-01-09,2021-01-23
PO00108,Prime Industrial Tools,Denver Operations Center,Hardware,46,276,12696,2020-11-20,2020-12-11
PO00109,Prime Industrial Tools,Albuquerque Distribution Center,Janitorial,6,38,228,2020-09-30,2020-10-28
PO00110,Prime Industrial Tools,Albuquerque Distribution Center,Plumbing,47,430,20210,2021-02-24,2021-03-18
PO00111,Precision Plumbing,Phoenix Distribution Center,Electrical,61,488,29768,2021-02-14,2021-03-02
PO00112,CleanWorks Supply,Phoenix Distribution Center,Plumbing,59,36,2124,2020-10-28,2020-11-23
PO00113,Prime Industrial Tools,Reno Operations Center,Networking,25,665,16625,2020-09-09,2020-09-20
PO00114,IronGate Mechanical,Phoenix Distribution Center,Safety,71,338,23998,2021-06-14,2021-07-09
PO00115,Atlas Industrial Suppy,Salt Lake Service Hub,Electrical,4,390,1560,2021-01-09,2021-02-06
PO00116,Rocky Mountain Fasteners,Salt Lake Service Hub,Safety,67,845,56615,2020-12-09,2021-01-02
PO00117,Mountain HVAC Solutions,Salt Lake Service Hub,Safety,48,565,27120,2020-12-22,2021-01-05
PO00118,Summit Safety Co.,Reno Operations Center,Electrical,64,253,16192,2020-07-30,2020-08-13
PO00119,Atlas Industrial Suppy,Albuquerque Distribution Center,Plumbing,72,95,6840,2020-08-31,2020-09-21
PO00120,Mountain HVAC Solutions,Reno Operations Center,Networking,72,235,16920,2020-11-10,2020-11-24
PO00121,BluePeak Office Supply,Reno Operations Center,Office,7,521,3647,2020-11-27,2020-12-07
PO00122,CleanWorks Supply,Salt Lake Service Hub,HVAC,71,155,11005,2020-07-14,2020-07-21
PO00123,Precision Plumbing,Salt Lake Service Hub,Networking,61,442,26962,2020-12-13,2020-12-30
PO00124,IronGate Mechanical,Albuquerque Distribution Center,HVAC,11,828,9108,2020-12-18,2021-01-06
PO00125,Atlas Industrial Suppy,Denver Operations Center,Networking,10,559,5590,2021-04-29,2021-05-15
PO00126,Prime Industrial Tools,Reno Operations Center,HVAC,19,171,3249,2021-05-17,2021-05-26
PO00127,Summit Safety Co.,Salt Lake Service Hub,Safety,34,423,14382,2021-04-10,2021-05-06
PO00128,Summit Safety Co.,Phoenix Distribution Center,HVAC,65,777,50505,2021-04-17,2021-04-27
PO00129,Prime Industrial Tools,Salt Lake Service Hub,Janitorial,19,533,10127,2020-10-13,2020-11-10
PO00130,CleanWorks Supply,Denver Operations Center,Janitorial,25,63,1575,2021-03-13,2021-04-09
PO00131,Precision Plumbing,Phoenix Distribution Center,Plumbing,36,499,17964,2021-04-05,2021-04-21
PO00132,BluePeak Office Supply,Salt Lake Service Hub,Hardware,19,433,8227,2020-07-12,2020-08-09
PO00133,Western Network Systems,Albuquerque Distribution Center,Janitorial,55,724,39820,2020-09-25,2020-10-21
PO00134,Precision Plumbing,Reno Operations Center,HVAC,51,291,14841,2021-07-02,2021-07-10
PO00135,Western Network Systems,Phoenix Distribution Center,Mechanical,5,854,4270,2021-04-20,2021-05-17
PO00136,Precision Plumbing,Phoenix Distribution Center,Safety,57,146,8322,2021-04-05,2021-04-27
PO00137,Atlas Industrial Suppy,Phoenix Distribution Center,Electrical,47,287,13489,2021-04-14,2021-05-14
PO00138,Precision Plumbing,Reno Operations Center,Plumbing,12,814,9768,2020-08-01,2020-08-23
PO00139,Mountain HVAC Solutions,Phoenix Distribution Center,HVAC,30,828,24840,2020-09-08,2020-10-06
PO00140,Summit Safety Co.,Denver Operations Center,Mechanical,25,72,1800,2021-06-09,2021-06-16
PO00141,Precision Plumbing,Reno Operations Center,Janitorial,15,653,9795,2021-03-05,2021-04-02
PO00142,Precision Plumbing,Denver Operations Center,Electrical,65,47,3055,2020-07-16,2020-08-12
PO00143,Rocky Mountain Fasteners,Denver Operations Center,Safety,25,194,4850,2021-07-08,2021-08-07
PO00144,BluePeak Office Supply,Albuquerque Distribution Center,Plumbing,65,280,18200,2021-07-12,2021-08-04
PO00145,Western Network Systems,Reno Operations Center,Electrical,16,692,11072,2021-02-12,2021-02-26
PO00146,Western Network Systems,Albuquerque Distribution Center,Mechanical,69,222,15318,2021-02-10,2021-03-07
PO00147,Precision Plumbing,Salt Lake Service Hub,Janitorial,25,144,3600,2021-01-01,2021-01-23
PO00148,Precision Plumbing,Phoenix Distribution Center,Mechanical,18,352,6336,2020-10-22,2020-11-07
PO00149,CleanWorks Supply,Denver Operations Center,Hardware,23,305,7015,2020-08-14,2020-09-04
PO00150,Summit Safety Co.,Albuquerque Distribution Center,HVAC,69,517,35673,2021-06-08,2021-06-24
PO00151,Atlas Industrial Suppy,Denver Operations Center,Janitorial,13,473,6149,2020-11-01,2020-11-08
PO00152,BluePeak Office Supply,Reno Operations Center,Safety,4,468,1872,2021-04-04,2021-04-28
PO00153,Summit Safety Co.,Denver Operations Center,Plumbing,53,368,19504,2020-09-27,2020-10-19
PO00154,Atlas Industrial Suppy,Phoenix Distribution Center,Office,44,366,16104,2021-02-23,2021-03-24
PO00155,IronGate Mechanical,Salt Lake Service Hub,Hardware,27,453,12231,2020-08-16,2020-08-21
PO00156,Mountain HVAC Solutions,Denver Operations Center,Networking,52,726,37752,2020-12-20,2021-01-13
PO00157,Summit Safety Co.,Phoenix Distribution Center,Hardware,8,546,4368,2021-04-10,2021-05-01
PO00158,Western Network Systems,Phoenix Distribution Center,Plumbing,20,577,11540,2020-09-12,2020-09-30
PO00159,CleanWorks Supply,Albuquerque Distribution Center,Janitorial,57,351,20007,2021-07-10,2021-07-15
PO00160,IronGate Mechanical,Albuquerque Distribution Center,Mechanical,57,41,2337,2020-11-05,2020-11-14
PO00161,BluePeak Office Supply,Phoenix Distribution Center,Mechanical,68,659,44812,2021-02-16,2021-02-25
PO00162,Mountain HVAC Solutions,Denver Operations Center,Safety,58,797,46226,2021-03-28,2021-04-08
PO00163,BluePeak Office Supply,Denver Operations Center,Office,19,580,11020,2020-12-19,2020-12-31
PO00164,Mountain HVAC Solutions,Reno Operations Center,Electrical,24,161,3864,2021-04-21,2021-05-11
PO00165,IronGate Mechanical,Albuquerque Distribution Center,Safety,1,497,497,2021-04-15,2021-04-26
PO00166,Summit Safety Co.,Reno Operations Center,Plumbing,19,87,1653,2020-12-30,2021-01-23
PO00167,CleanWorks Supply,Denver Operations Center,Hardware,13,560,7280,2020-09-08,2020-09-22
PO00168,BluePeak Office Supply,Salt Lake Service Hub,Safety,37,377,13949,2021-05-09,2021-05-20
PO00169,Prime Industrial Tools,Denver Operations Center,Safety,2,655,1310,2020-08-10,2020-08-24
PO00170,Prime Industrial Tools,Albuquerque Distribution Center,HVAC,44,666,29304,2020-10-19,2020-11-18
PO00171,Mountain HVAC Solutions,Reno Operations Center,Mechanical,71,740,52540,2020-07-30,2020-08-07
PO00172,Precision Plumbing,Reno Operations Center,HVAC,18,369,6642,2021-04-22,2021-05-07
PO00173,Rocky Mountain Fasteners,Denver Operations Center,Plumbing,22,453,9966,2021-04-06,2021-04-18
PO00174,IronGate Mechanical,Reno Operations Center,Plumbing,8,143,1144,2021-02-15,2021-02-25
PO00175,Summit Safety Co.,Albuquerque Distribution Center,Safety,7,228,1596,2021-05-24,2021-06-16
PO00176,Western Network Systems,Phoenix Distribution Center,Janitorial,13,200,2600,2020-08-07,2020-08-27
PO00177,Precision Plumbing,Phoenix Distribution Center,Janitorial,42,317,13314,2021-03-30,2021-04-11
PO00178,Precision Plumbing,Denver Operations Center,HVAC,5,756,3780,2020-08-29,2020-09-09
PO00179,Atlas Industrial Suppy,Denver Operations Center,HVAC,54,255,13770,2021-02-20,2021-03-15
PO00180,Precision Plumbing,Phoenix Distribution Center,Electrical,74,801,59274,2020-10-19,2020-11-05
PO00181,Atlas Industrial Suppy,Albuquerque Distribution Center,Hardware,9,632,5688,2020-09-11,2020-09-23
PO00182,Atlas Industrial Suppy,Denver Operations Center,Hardware,25,497,12425,2021-02-05,2021-02-18
PO00183,CleanWorks Supply,Phoenix Distribution Center,Plumbing,45,545,24525,2020-08-28,2020-09-27
PO00184,Prime Industrial Tools,Phoenix Distribution Center,Hardware,65,245,15925,2021-05-07,2021-05-13
PO00185,Prime Industrial Tools,Albuquerque Distribution Center,Janitorial,20,811,16220,2020-09-05,2020-09-27
PO00186,IronGate Mechanical,Reno Operations Center,Janitorial,69,762,52578,2021-02-26,2021-03-10
PO00187,Atlas Industrial Suppy,Denver Operations Center,Safety,17,895,15215,2021-04-17,2021-05-11
PO00188,Prime Industrial Tools,Reno Operations Center,Electrical,54,358,19332,2021-04-21,2021-05-09
PO00189,Summit Safety Co.,Phoenix Distribution Center,Safety,15,604,9060,2020-08-13,2020-09-10
PO00190,BluePeak Office Supply,Reno Operations Center,Plumbing,60,646,38760,2020-10-01,2020-10-12
PO00191,CleanWorks Supply,Phoenix Distribution Center,Hardware,53,94,4982,2020-09-20,2020-10-04
PO00192,Atlas Industrial Suppy,Phoenix Distribution Center,Office,26,197,5122,2021-03-16,2021-04-04
PO00193,Rocky Mountain Fasteners,Phoenix Distribution Center,HVAC,20,247,4940,2020-11-09,2020-12-01
PO00194,Summit Safety Co.,Reno Operations Center,Networking,63,194,12222,2021-05-01,2021-05-20
PO00195,Rocky Mountain Fasteners,Albuquerque Distribution Center,Plumbing,32,585,18720,2020-10-10,2020-10-25
PO00196,Atlas Industrial Suppy,Phoenix Distribution Center,Electrical,70,270,18900,2021-06-25,2021-07-02
PO00197,IronGate Mechanical,Reno Operations Center,Janitorial,58,180,10440,2020-11-29,2020-12-29
PO00198,Prime Industrial Tools,Denver Operations Center,Janitorial,25,76,1900,2021-02-05,2021-02-18
PO00199,Western Network Systems,Salt Lake Service Hub,Networking,57,145,8265,2021-04-30,2021-05-21
PO00200,Precision Plumbing,Albuquerque Distribution Center,Safety,10,31,310,2020-09-19,2020-10-13
PO00201,IronGate Mechanical,Reno Operations Center,Electrical,39,270,10530,2021-06-10,2021-06-21
PO00202,IronGate Mechanical,Denver Operations Center,Mechanical,50,329,16450,2021-05-06,2021-06-03
PO00203,Western Network Systems,Reno Operations Center,Hardware,34,60,2040,2021-05-25,2021-06-08
PO00204,CleanWorks Supply,Reno Operations Center,Hardware,18,321,5778,2021-03-12,2021-04-01
PO00205,Western Network Systems,Reno Operations Center,Office,12,319,3828,2020-11-09,2020-11-17
PO00206,Rocky Mountain Fasteners,Phoenix Distribution Center,Office,35,144,5040,2021-02-19,2021-03-18
PO00207,Prime Industrial Tools,Reno Operations Center,Safety,57,585,33345,2021-06-17,2021-06-25
PO00208,Mountain HVAC Solutions,Salt Lake Service Hub,Hardware,69,41,2829,2021-06-29,2021-07-12
PO00209,Mountain HVAC Solutions,Salt Lake Service Hub,Electrical,6,231,1386,2021-01-05,2021-01-25
PO00210,IronGate Mechanical,Reno Operations Center,Janitorial,64,800,51200,2021-02-09,2021-02-21
PO00211,Summit Safety Co.,Albuquerque Distribution Center,Mechanical,11,405,4455,2020-09-16,2020-09-22
PO00212,Atlas Industrial Suppy,Reno Operations Center,Office,16,881,14096,2020-12-01,2020-12-21
PO00213,Rocky Mountain Fasteners,Reno Operations Center,HVAC,36,205,7380,2021-02-02,2021-02-18
PO00214,IronGate Mechanical,Reno Operations Center,Office,69,260,17940,2020-10-02,2020-10-10
PO00215,Precision Plumbing,Albuquerque Distribution Center,Networking,39,778,30342,2020-12-30,2021-01-09
PO00216,Western Network Systems,Albuquerque Distribution Center,Hardware,52,773,40196,2021-06-09,2021-07-03
PO00217,BluePeak Office Supply,Denver Operations Center,Networking,51,612,31212,2020-12-19,2020-12-31
PO00218,Mountain HVAC Solutions,Reno Operations Center,Electrical,43,760,32680,2021-01-11,2021-01-21
PO00219,Mountain HVAC Solutions,Reno Operations Center,Plumbing,39,82,3198,2021-04-26,2021-05-19
PO00220,Precision Plumbing,Reno Operations Center,Safety,51,424,21624,2021-03-23,2021-04-16
PO00221,Atlas Industrial Suppy,Denver Operations Center,HVAC,46,725,33350,2020-10-15,2020-10-20
PO00222,BluePeak Office Supply,Albuquerque Distribution Center,Office,55,504,27720,2021-04-26,2021-05-26
PO00223,Atlas Industrial Suppy,Phoenix Distribution Center,Networking,58,643,37294,2021-02-08,2021-02-22
PO00224,Precision Plumbing,Denver Operations Center,Plumbing,17,885,15045,2021-05-26,2021-06-15
PO00225,Mountain HVAC Solutions,Reno Operations Center,Networking,31,615,19065,2021-01-18,2021-02-03
PO00226,CleanWorks Supply,Reno Operations Center,Networking,35,131,4585,2020-11-25,2020-12-07
PO00227,Atlas Industrial Suppy,Reno Operations Center,Electrical,73,447,32631,2021-02-07,2021-03-04
PO00228,Rocky Mountain Fasteners,Phoenix Distribution Center,Plumbing,72,390,28080,2020-07-25,2020-08-20
PO00229,BluePeak Office Supply,Phoenix Distribution Center,Janitorial,50,503,25150,2020-11-29,2020-12-22
PO00230,BluePeak Office Supply,Phoenix Distribution Center,Janitorial,71,627,44517,2020-07-31,2020-08-27
PO00231,Summit Safety Co.,Albuquerque Distribution Center,Electrical,38,598,22724,2021-02-28,2021-03-16
PO00232,Western Network Systems,Albuquerque Distribution Center,Plumbing,52,425,22100,2020-09-23,2020-10-18
PO00233,BluePeak Office Supply,Denver Operations Center,Janitorial,52,775,40300,2021-01-21,2021-01-27
PO00234,Rocky Mountain Fasteners,Reno Operations Center,Mechanical,8,278,2224,2021-02-16,2021-03-04
PO00235,BluePeak Office Supply,Salt Lake Service Hub,Plumbing,36,355,12780,2020-10-14,2020-11-08
PO00236,Western Network Systems,Phoenix Distribution Center,Janitorial,13,199,2587,2020-07-24,2020-08-12
PO00237,Precision Plumbing,Denver Operations Center,HVAC,34,656,22304,2020-08-06,2020-08-15
PO00238,Atlas Industrial Suppy,Salt Lake Service Hub,Hardware,15,881,13215,2021-03-05,2021-04-04
PO00239,Prime Industrial Tools,Phoenix Distribution Center,Plumbing,47,377,17719,2020-10-12,2020-10-17
PO00240,Rocky Mountain Fasteners,Phoenix Distribution Center,Janitorial,14,182,2548,2020-09-04,2020-09-12
PO00241,Summit Safety Co.,Salt Lake Service Hub,HVAC,49,878,43022,2021-06-26,2021-07-16
PO00242,Rocky Mountain Fasteners,Denver Operations Center,Office,32,642,20544,2020-10-19,2020-11-01
PO00243,Prime Industrial Tools,Denver Operations Center,Plumbing,61,602,36722,2020-11-15,2020-12-03
PO00244,IronGate Mechanical,Albuquerque Distribution Center,Plumbing,49,855,41895,2021-04-28,2021-05-23
PO00245,Precision Plumbing,Albuquerque Distribution Center,Electrical,53,799,42347,2021-01-14,2021-01-25
PO00246,Summit Safety Co.,Albuquerque Distribution Center,Plumbing,37,708,26196,2021-06-15,2021-06-26
PO00247,BluePeak Office Supply,Phoenix Distribution Center,Hardware,66,481,31746,2020-11-20,2020-12-03
PO00248,Western Network Systems,Phoenix Distribution Center,Janitorial,49,897,43953,2021-03-25,2021-04-14
PO00249,Rocky Mountain Fasteners,Reno Operations Center,Networking,58,71,4118,2020-10-06,2020-10-31
PO00250,Precision Plumbing,Denver Operations Center,Office,43,245,10535,2020-12-09,2020-12-17
PO00251,Precision Plumbing,Salt Lake Service Hub,Plumbing,3,111,333,2020-11-24,2020-12-02
PO00252,Summit Safety Co.,Phoenix Distribution Center,Office,6,557,3342,2021-01-14,2021-02-12
PO00253,Western Network Systems,Salt Lake Service Hub,Hardware,15,432,6480,2020-08-20,2020-09-14
PO00254,Prime Industrial Tools,Phoenix Distribution Center,Mechanical,35,674,23590,2021-05-18,2021-06-12
PO00255,Atlas Industrial Suppy,Albuquerque Distribution Center,Plumbing,17,811,13787,2020-12-15,2020-12-25
PO00256,CleanWorks Supply,Reno Operations Center,Hardware,1,65,65,2021-02-27,2021-03-16
PO00257,Mountain HVAC Solutions,Salt Lake Service Hub,Office,45,824,37080,2020-12-27,2021-01-22
PO00258,Mountain HVAC Solutions,Phoenix Distribution Center,Networking,32,361,11552,2021-05-11,2021-06-10
PO00259,IronGate Mechanical,Reno Operations Center,Electrical,47,481,22607,2021-07-09,2021-07-25
PO00260,IronGate Mechanical,Albuquerque Distribution Center,HVAC,15,425,6375,2021-03-17,2021-03-30
PO00261,CleanWorks Supply,Salt Lake Service Hub,Plumbing,6,559,3354,2021-03-04,2021-03-21
PO00262,Atlas Industrial Suppy,Salt Lake Service Hub,Janitorial,54,141,7614,2020-09-28,2020-10-08
PO00263,Summit Safety Co.,Denver Operations Center,Janitorial,42,241,10122,2021-05-05,2021-05-15
